timeStamp,wattsupPower,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 14:52:11 2020,98.9,1199.9172187500005,2.9246927758320767,13.0,9943.0791253175,10942.951621857159,383,2.2,10942.951621857159,304214016,5101943613,0.16327069555315002
Mon May 18 14:52:18 2020,98.9,1200.11221875,2.988478572043413,13.0,10148.808653600714,10602.461853398443,384,2.2,10602.461853398443,304214016,4490786323,0.14939418569731058
Mon May 18 14:52:25 2020,98.8,1202.3575000000005,2.9295403021565907,12.9,10021.296427378704,11124.182188176828,384,2.2,11124.182188176828,304214016,4462860896,0.13520604790472024
Mon May 18 14:52:32 2020,98.9,1208.3788125,2.8681877186864195,12.6,9403.110990634106,10356.2511015147,384,2.2,10356.2511015147,304214016,4479404171,0.15104946958632884
Mon May 18 14:52:39 2020,98.9,1199.9221874999996,2.9590905188219434,13.0,9414.332248698527,10682.732929267442,384,2.2,10682.732929267442,304214016,4873777251,0.16185189757603866
Mon May 18 14:52:46 2020,98.8,1200.0312812499994,2.9271439264181685,12.6,9406.368028548812,10458.882786382424,384,2.2,10458.882786382424,304214016,4557004224,0.14691767635762826
Mon May 18 14:52:53 2020,98.7,1206.47403125,3.0153779901100717,13.0,10341.34604022663,11134.578639219873,384,2.2,11134.578639219873,304214016,4348166519,0.1362816635523919
Mon May 18 14:53:01 2020,98.8,1205.5901874999995,2.8409197170254155,12.5,9961.920988946418,10476.314477522805,384,2.2,10476.314477522805,304214016,4393226351,0.14993906167951668
Mon May 18 14:53:07 2020,98.8,1199.9172499999995,2.8737241014686075,12.9,10084.059710475578,10428.731642283024,384,2.2,10428.731642283024,304214016,5125975309,0.1556765050950726
Mon May 18 14:53:15 2020,98.7,1200.06084375,2.8729648639717116,12.8,9568.976559039607,10704.745794487486,384,2.2,10704.745794487486,304214016,4545775782,0.14026321002606593
