timeStamp,Power,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 20:15:17 2020,157.6,2235.295312,20.74173094,73.4,33377.67381,28767.5751,464,9.4,28767.5751,304726016,34461585446,0.295080219
Mon May 18 20:15:25 2020,157.4,2081.432094,21.47443838,69.5,33448.74859,31340.8931,464,9.3,31340.8931,304726016,40644138890,0.324748648
Mon May 18 20:15:31 2020,159.3,2084.664031,20.43782768,66.4,34403.31158,29608.13115,462,9.6,29608.13115,304726016,39013841859,0.34308719
Mon May 18 20:15:39 2020,147.7,1534.419094,16.38430691,54.9,32416.07196,25626.36345,462,9.6,25626.36345,304726016,39564123044,0.322451502
Mon May 18 20:15:46 2020,155.8,2124.765219,24.36453942,75.4,31561.0783,34419.91179,460,9.6,34419.91179,304726016,34011826169,0.172649949
Mon May 18 20:15:53 2020,156.6,2199.695656,23.94844467,78.7,44381.73685,27228.4885,461,9.3,27228.4885,304726016,33590505161,0.241547109
Mon May 18 20:16:00 2020,156.6,2170.346219,22.09198865,70.7,31712.05149,30007.3188,462,9.7,30007.3188,304726016,33092670941,0.252193114
Mon May 18 20:16:07 2020,159,2153.944344,22.74188365,74.5,30236.36397,31904.05431,463,9.5,31904.05431,304726016,37264650306,0.332686728
Mon May 18 20:16:14 2020,157.7,2101.69775,22.62681197,71.7,42162.22321,28842.97149,464,9.8,28842.97149,304726016,38013762454,0.345721533
Mon May 18 20:16:21 2020,154.6,2066.410125,21.52087812,69.8,39011.6622,30068.74117,464,9.7,30068.74117,304726016,38606109666,0.321463566
Mon May 18 20:16:29 2020,160.1,2188.839063,22.71211603,74.5,38591.03022,28687.95883,464,9.9,28687.95883,304726016,34473225990,0.21611987
Mon May 18 20:16:35 2020,161,2107.774969,21.00832129,67.4,30363.10105,27701.68531,464,9.9,27701.68531,304726016,37740893807,0.346096272
Mon May 18 20:16:43 2020,161.1,2070.573469,21.24068217,69.4,32823.6348,29683.60634,464,10,29683.60634,304726016,39016935282,0.34168757
Mon May 18 20:16:49 2020,155.4,2088.695344,22.48804181,72.7,30682.35032,31224.7678,464,9.9,31224.7678,304726016,38044866757,0.323744896
Mon May 18 20:16:57 2020,157.7,2196.875469,22.04950123,72.8,34484.33372,30538.58618,464,10,30538.58618,304726016,35502223695,0.113496167
Mon May 18 20:17:03 2020,157.8,2204.006313,22.75207782,76.7,38436.1155,27824.62187,466,9.9,27824.62187,304726016,34247340989,0.124000848
Mon May 18 20:17:11 2020,157.1,2193.896719,22.21495997,76.1,29959.02494,31000.69367,462,10.1,31000.69367,304726016,32839678878,0.155477612
Mon May 18 20:17:17 2020,158.4,2078.629438,19.87217606,68.9,42597.45545,30992.74489,463,9.9,30992.74489,304726016,38397214481,0.324868722
Mon May 18 20:17:25 2020,159.7,2071.629156,21.74749153,70.1,29633.08152,27237.22601,463,10.2,27237.22601,304726016,37208871264,0.354499421
Mon May 18 20:17:31 2020,159.9,1911.2905,22.51874791,70.7,31446.2846,29997.97794,463,9.9,29997.97794,304726016,40269527994,0.347433156
Mon May 18 20:17:39 2020,156.4,2196.463563,22.58401506,73.8,33343.37904,29730.68961,456,10.4,29730.68961,304726016,33136030118,0.165047252
Mon May 18 20:17:45 2020,160.2,2179.266,22.66267626,73.6,31238.86671,29794.9855,457,10.1,29794.9855,304726016,39831123891,0.337143224
Mon May 18 20:17:53 2020,160.4,2119.111563,22.30874914,71,42067.51672,29823.19015,458,10.4,29823.19015,304726016,38222212533,0.33682309
Mon May 18 20:17:59 2020,159.4,2036.089719,21.36635781,66.2,37114.26015,30029.46458,458,10.3,30029.46458,304726016,26849700031,0.069647761
Mon May 18 20:18:07 2020,156.6,2247.847063,19.73346454,61.3,31625.22316,31910.53923,458,10.1,31910.53923,304726016,36593176067,0.228357895
Mon May 18 20:18:14 2020,157.1,2165.328125,23.66333975,75.6,44047.03516,26845.15286,443,10.3,26845.15286,304726016,34198330971,0.096523894
Mon May 18 20:18:21 2020,157.9,2085.866938,23.84768335,76.4,31515.53418,32418.32012,449,10.6,32418.32012,304726016,34371730642,0.238297661
Mon May 18 20:18:29 2020,157.8,2116.220313,22.47854856,75.3,38894.07411,34074.36548,450,10.4,34074.36548,304726016,38239960569,0.347604142
Mon May 18 20:18:35 2020,157.3,2245.467625,23.67691506,77,31854.09713,30499.82544,450,10.6,30499.82544,304726016,35457757712,0.241231456
Mon May 18 20:18:43 2020,156.3,2085.464781,23.75483546,73.5,35827.78839,31956.72968,451,10.5,31956.72968,304726016,38648313299,0.32588497
Mon May 18 20:18:49 2020,157.1,2094.420094,22.61930402,72.7,30822.13969,29767.78332,452,10.7,29767.78332,304726016,32773132017,0.223654051
Mon May 18 20:18:57 2020,156.6,2274.438844,22.48386543,75.6,41503.18955,30805.12283,457,10.7,30805.12283,304726016,39842269788,0.245501339
Mon May 18 20:19:03 2020,156.4,1953.506281,23.40602395,72.8,45265.94184,33497.06828,457,10.8,33497.06828,304726016,31644914994,0.196139949
Mon May 18 20:19:11 2020,165.2,2195.624969,22.55276303,75.3,33609.88407,30582.61694,458,10.9,30582.61694,304726016,33786830817,0.170544097
Mon May 18 20:19:17 2020,155.8,2201.173469,21.97220227,75.9,42441.7004,30603.60697,457,11,30603.60697,304726016,37530018697,0.179867613
Mon May 18 20:19:25 2020,162.4,2116.628813,24.6957578,76.1,34143.82124,27463.45383,457,10.7,27463.45383,313114624,31996177056,0.268092224
Mon May 18 20:19:32 2020,157,2167.954531,22.33985648,73.9,42886.96519,31734.32752,458,10.9,31734.32752,313114624,41092574414,0.331726566
Mon May 18 20:19:39 2020,156,2171.72425,23.79047743,76,37050.93457,32443.25514,460,10.6,32443.25514,313114624,41025884198,0.295534829
Mon May 18 20:19:46 2020,156.3,2181.814656,24.16039723,75,37333.52977,33468.69684,460,11,33468.69684,313114624,34363532118,0.327930774
Mon May 18 20:19:53 2020,156.8,2101.749313,23.10008724,73.7,30949.81755,32974.09817,461,10.8,32974.09817,313114624,33089007422,0.144230162
Mon May 18 20:20:00 2020,156.6,2157.792875,23.18867455,75.4,39826.83282,30088.20181,461,11.2,30088.20181,313114624,33022640191,0.186487158
Mon May 18 20:20:07 2020,157.2,2233.898031,22.78816978,76,43859.40789,31732.31971,462,11.1,31732.31971,313114624,34074058429,0.266861644
Mon May 18 20:20:14 2020,157.2,2285.492469,23.36140218,75.7,31274.9048,32138.61784,462,11.2,32138.61784,313114624,31969967277,0.300133574
Mon May 18 20:20:20 2020,157.2,2063.255719,24.17423118,74.5,42154.3214,33634.83504,464,11.1,33634.83504,313114624,31450759047,0.241879593
Mon May 18 20:20:27 2020,156.9,2207.419531,22.20960283,74.6,40850.31301,33517.18472,463,11.2,33517.18472,313114624,34495384416,0.148601302
Mon May 18 20:20:33 2020,156.5,2175.191531,22.8796443,75.1,32517.11881,26279.18011,463,11,26279.18011,313114624,40550803319,0.311531047
Mon May 18 20:20:41 2020,162.3,2168.626031,21.72196708,72.5,30473.39099,30193.58808,463,11.3,30193.58808,313114624,34341931550,0.165418441
Mon May 18 20:20:47 2020,159.3,2192.117438,22.07384362,75.1,37255.48763,34063.25342,463,11.1,34063.25342,313114624,32208769798,0.162672629
Mon May 18 20:20:55 2020,159.5,2222.694719,22.35773666,74.2,30056.57001,28948.33554,463,11.5,28948.33554,313114624,38084702154,0.379801849
Mon May 18 20:21:01 2020,155.4,2216.103844,23.05662105,74.2,33404.6287,30937.20031,463,11.3,30937.20031,313114624,31696539032,0.119152906
Mon May 18 20:21:09 2020,157.1,2023.966125,22.35516565,72.5,30470.20754,31677.51223,462,11.6,31677.51223,313114624,32288879441,0.154805512
Mon May 18 20:21:15 2020,157.2,2093.896281,23.03198471,75.6,31024.49899,30489.27329,462,11.5,30489.27329,313114624,33140743826,0.140872701
Mon May 18 20:21:23 2020,157.7,2154.820219,21.82782787,73.5,36685.00705,29984.93939,462,11.6,29984.93939,313114624,34353854672,0.133179768
Mon May 18 20:21:29 2020,156.7,2247.82,22.80601824,77.7,30533.0257,31878.41042,460,11.5,31878.41042,313114624,35767363901,0.224467676
Mon May 18 20:21:37 2020,156.5,2151.801406,23.18423321,73.9,38163.00094,31889.34492,461,11.2,31889.34492,313114624,41118455139,0.346220334
Mon May 18 20:21:43 2020,162.8,2076.450969,22.61699918,72.8,29710.15429,25780.75173,461,11.4,25780.75173,313114624,33400450646,0.195236532
Mon May 18 20:21:51 2020,154.7,2179.532344,22.38171052,74.9,36994.84185,31208.64273,462,11.7,31208.64273,313114624,42535956287,0.337888119
Mon May 18 20:21:57 2020,162.2,1371.321937,14.93560089,53.8,21522.19651,28774.12914,462,11.4,28774.12914,313114624,34438716962,0.287844985
Mon May 18 20:22:05 2020,155.6,2193.966813,22.76798347,74,37239.65852,30314.99541,462,11.9,30314.99541,313114624,32935501454,0.13576749
Mon May 18 20:22:11 2020,156,2242.489719,23.07134553,77.6,29616.75713,28674.2616,462,11.6,28674.2616,313114624,35977624763,0.223124122
Mon May 18 20:22:19 2020,161.8,2228.77625,22.87475409,74.6,40206.33845,32122.80297,463,12,32122.80297,313114624,32749030035,0.144046926
Mon May 18 20:22:26 2020,159.3,2200.074938,22.11034986,73.6,31634.84166,31737.52399,464,11.9,31737.52399,313114624,32921356322,0.109743253
Mon May 18 20:22:33 2020,159.3,1324.723406,15.90993587,55.4,23320.12639,25892.3282,462,10.2,25892.3282,313053184,15633366079,0.077756309
Mon May 18 20:22:40 2020,129.3,1849.6815,8.459589444,30.8,16909.77692,20918.07864,466,10.3,20918.07864,313114624,35749030118,0.189966789
Mon May 18 20:22:46 2020,180,2183.7045,23.35176361,72.6,37639.88771,31431.90646,466,12,31431.90646,313114624,19864904246,0.146479223
Mon May 18 20:22:54 2020,161.6,2108.836,15.53143016,48.5,30546.63761,23048.87863,466,11.6,23048.87863,313114624,36861561810,0.294706679
Mon May 18 20:23:00 2020,154.9,2285.699719,20.55562694,69.4,28797.54609,31091.75161,466,11.9,31091.75161,313114624,43311313854,0.275470521
Mon May 18 20:23:08 2020,163.7,2156.346063,22.67730618,73.5,34087.85112,34549.68005,465,12.1,34549.68005,313114624,35601129618,0.230093629
Mon May 18 20:23:14 2020,161.7,1964.399188,20.59506002,69.5,37769.82615,30449.97403,465,12.2,30449.97403,313114624,39030645324,0.304039242
Mon May 18 20:23:22 2020,155.6,1992.910688,21.9503595,70.1,37381.89332,32214.39789,466,12,32214.39789,313114624,38618289684,0.312381113
Mon May 18 20:23:28 2020,161.9,2085.888438,19.74768644,66.8,35990.19136,26972.89802,466,12.3,26972.89802,313114624,32910875617,0.199013764
Mon May 18 20:23:36 2020,160,2103.505156,20.02672026,68.7,41230.82771,29464.14152,466,12.2,29464.14152,313114624,36864639915,0.34897813
Mon May 18 20:23:42 2020,159.4,2286.44725,23.18478232,75.5,38049.46716,29921.40569,459,12.5,29921.40569,313114624,33659996121,0.243133198
Mon May 18 20:23:50 2020,157.9,2254.024188,22.33672923,72.7,42320.77545,30952.09504,464,12.3,30952.09504,313114624,32949575117,0.251857573
Mon May 18 20:23:56 2020,157.2,2276.410375,22.59859835,73.4,45219.71224,31521.74388,464,12.5,31521.74388,313114624,32876231656,0.303828732
Mon May 18 20:24:04 2020,157.9,2116.163063,24.58262874,75.1,41241.61819,29086.03723,464,12.1,29086.03723,313114624,43226138465,0.35222329
Mon May 18 20:24:10 2020,157.9,2225.769094,22.22041408,73.6,30376.06503,30614.69553,458,12.4,30614.69553,313114624,33589746045,0.09907278
Mon May 18 20:24:18 2020,158.3,2123.369281,21.67856159,72.1,38604.59825,30766.43996,460,12.5,30766.43996,313114624,35603554525,0.276665967
Mon May 18 20:24:24 2020,159.8,2003.254656,22.71806756,71.6,31356.98037,30955.43352,461,12.5,30955.43352,313114624,38118161223,0.334536874
Mon May 18 20:24:32 2020,159.5,2072.841844,22.09753967,69.5,38507.00895,30415.526,463,12.6,30415.526,313114624,29759252350,0.23601176
Mon May 18 20:24:39 2020,155.1,2285.907969,24.05075518,78.7,31286.35073,32920.03239,463,12.6,32920.03239,313114624,41507004296,0.301460278
Mon May 18 20:24:46 2020,161.1,2208.993781,21.71067014,70.5,34396.04814,29872.99186,462,12.4,29872.99186,313114624,33219886398,0.11282731
Mon May 18 20:24:54 2020,159.5,2168.803094,23.35606578,76.5,31378.3355,31900.02472,463,12.8,31900.02472,313114624,35809757007,0.289919241
Mon May 18 20:25:00 2020,154.2,2238.377531,23.06244604,74.6,29833.49793,30566.21904,463,12.8,30566.21904,313114624,34495344572,0.124077972
Mon May 18 20:25:08 2020,157.2,2190.896094,20.05271152,71.5,34756.53728,30940.95688,461,12.6,30940.95688,313114624,39720267613,0.359078182
Mon May 18 20:25:14 2020,163.7,2008.736594,21.88766305,69.9,32990.77717,24860.79205,461,12.7,24860.79205,313114624,39826421495,0.303419967
Mon May 18 20:25:22 2020,156.5,2265.256344,22.6330264,74.3,32132.41805,30230.34391,461,13,30230.34391,313114624,34715998228,0.300149309
Mon May 18 20:25:28 2020,157.2,2201.61425,20.11128111,67.9,32057.59671,30506.38029,462,12.7,30506.38029,313114624,40221247653,0.33236283
Mon May 18 20:25:36 2020,159.1,2128.740656,21.02502234,68.4,30249.43004,27137.23131,463,13,27137.23131,313114624,43966804568,0.322652836
Mon May 18 20:25:42 2020,157.9,2201.761281,20.40630928,65.8,29065.96588,26381.97362,465,12.8,26381.97362,313114624,38960792077,0.348999909
Mon May 18 20:25:50 2020,165,2107.049594,22.57961215,71.5,38819.85377,31919.13248,463,13,31919.13248,313114624,37146549876,0.319592766
Mon May 18 20:25:56 2020,146.2,2124.051563,17.00536634,58,27834.72058,27763.13742,463,12.9,27763.13742,313114624,31712416318,0.259102024
Mon May 18 20:26:04 2020,157.1,2293.260219,23.84230967,79,30444.80921,34532.29264,463,12.7,34532.29264,313114624,34800679819,0.290119459
