timestamp,Power,currentCPUFrequency,userTime1Sec,idleTime1Sec,percentCPU,contextSwitches,interrupts,interruptsSoftware,numberOfProcesses
Wed Dec 18 12:28:16 2019,135,1866.667031,17.00102539,14.94124435,53.3,1333.962754,26990.37601,17886.80955,358
Wed Dec 18 12:28:21 2019,134.2,2087.747,16.93751484,14.96202617,53.2,1519.109671,27656.64558,18173.12525,358
Wed Dec 18 12:28:26 2019,133.9,1768.061313,17.28717286,14.64974825,54.2,1401.144059,24263.52316,18398.53307,358
Wed Dec 18 12:28:32 2019,134.8,1921.645688,16.6990898,15.25022986,52.3,1370.347397,20078.84931,17737.37416,359
Wed Dec 18 12:28:37 2019,135.5,2054.714188,17.49436395,14.44880227,54.8,1415.520699,25551.79275,18773.65644,359
Wed Dec 18 12:28:41 2019,135,1888.068125,16.94434537,14.99428494,53.1,1579.281156,21309.46193,17959.05847,359
Wed Dec 18 12:28:45 2019,135,1935.684688,16.67417284,15.27999496,52.2,1321.184277,17849.36991,17704.84257,358
Wed Dec 18 12:28:49 2019,135.2,2019.842844,17.53657815,14.40365532,55,1383.890155,26685.83259,18633.46629,358
Wed Dec 18 12:28:53 2019,135.8,1857.895281,16.78778737,15.13968238,52.6,1350.618392,24249.78358,17858.44701,358
Wed Dec 18 12:28:58 2019,135.6,1973.095563,17.05416219,14.89082282,53.4,1279.01322,17830.22348,18072.40002,358
Wed Dec 18 12:29:03 2019,134.9,1571.815219,17.20138363,14.7152385,54,1488.750683,27583.29076,18429.57847,358
Wed Dec 18 12:29:08 2019,134.4,1744.982063,16.74228953,15.20157603,52.4,1338.091078,25328.7818,17743.26388,358
Wed Dec 18 12:29:14 2019,134,1888.007969,17.00893052,14.93543479,53.3,1286.977096,19624.19799,17935.64018,359
Wed Dec 18 12:29:19 2019,134.5,1892.530063,17.33699524,14.61328162,54.3,1302.918074,22465.84001,18406.7039,359
Wed Dec 18 12:29:23 2019,134.4,1994.051906,16.3929358,15.55064952,51.3,1503.700095,19019.84655,17510.30401,359
Wed Dec 18 12:29:27 2019,134.9,2027.381094,17.15940528,14.78872999,53.8,1304.358197,19840.89702,18175.33943,359
Wed Dec 18 12:29:31 2019,135.2,1998.181531,17.38605188,14.56300874,54.5,1334.374614,23595.52995,18569.53971,359
Wed Dec 18 12:29:35 2019,135.9,1354.023844,16.20865831,15.75118529,50.8,1222.523635,17014.10282,17158.40149,359
Wed Dec 18 12:29:40 2019,135,1969.586625,17.15379748,14.78374828,53.8,1391.295714,23965.07852,18327.59242,359
Wed Dec 18 12:29:45 2019,134.7,1945.842656,17.02271117,14.90637411,53.4,1332.646291,25176.77581,18036.04703,359
Wed Dec 18 12:29:50 2019,134.6,1797.16075,17.20669053,14.74215999,53.9,1314.677287,22686.20908,18310.54181,359
Wed Dec 18 12:29:56 2019,134.5,1718.213719,16.47081436,15.47062587,51.7,1267.557859,22957.75114,17423.6358,359
Wed Dec 18 12:30:00 2019,135.3,1981.871438,17.46476269,14.46475539,54.8,1452.801588,27376.95226,18706.12824,359
Wed Dec 18 12:30:04 2019,134.6,1821.341625,16.42920982,15.47996659,51.5,1373.968732,24764.2956,17385.02474,359
Wed Dec 18 12:30:08 2019,134.6,1936.622094,17.12894368,14.82139236,53.7,1293.494482,23131.74146,18060.24023,359
Wed Dec 18 12:30:12 2019,135.3,1878.394969,17.70621607,14.25651056,55.5,1349.694237,18595.30037,18555.6178,359
Wed Dec 18 12:30:16 2019,135.5,1781.607656,16.68274975,15.25864226,52.3,1276.584557,24028.46657,17645.54379,359
Wed Dec 18 12:30:21 2019,136.9,1991.724781,16.92591013,15.02872021,53,1474.874274,18823.10006,18183.65503,359
Wed Dec 18 12:30:26 2019,135.2,1946.243125,17.17223709,14.76800642,53.8,1336.031762,21656.2839,18185.6164,359
Wed Dec 18 12:30:31 2019,134.8,2024.264906,16.94388064,14.97466346,53.2,1360.443281,23297.05289,18160.05821,358
Wed Dec 18 12:30:37 2019,135.1,1738.86975,16.52412763,15.42408502,51.8,1339.233372,21621.90518,17528.65053,358
Wed Dec 18 12:30:41 2019,135.7,1947.284563,17.64777915,14.29545581,55.3,1531.551644,19445.42298,18909.83029,358
Wed Dec 18 12:30:45 2019,135.4,1462.250594,17.27307819,14.68345508,54.1,1328.642156,19888.50017,18282.64179,358
